x,y,yaw
22.6528,7.9480,0.6813
22.7390,8.0196,0.6919
22.8199,8.0920,0.7199
22.8962,8.1665,0.7545
22.9728,8.2429,0.7708
23.0497,8.3206,0.7830
23.1246,8.3995,0.8028
23.1961,8.4787,0.8248
23.2644,8.5586,0.8495
23.3302,8.6405,0.8771
23.3938,8.7233,0.9017
23.4526,8.8061,0.9330
23.5081,8.8905,0.9660
23.5685,8.9901,1.0063
23.6251,9.0913,1.0418
23.6737,9.1911,1.0906
23.7129,9.2889,1.1521
23.7450,9.3883,1.2117
23.7727,9.4907,1.2659
23.7931,9.5928,1.3283
23.8060,9.6938,1.3917
23.8156,9.7989,1.4383
23.8213,9.9067,1.4846
23.8234,10.0171,1.5244
23.8204,10.1269,1.5709
23.8112,10.2376,1.6188
23.7987,10.3514,1.6544
23.7851,10.4517,1.6838
23.7694,10.5538,1.7074
23.7523,10.6585,1.7202
23.7340,10.7652,1.7339
23.7142,10.8736,1.7444
23.6931,10.9832,1.7544
23.6725,11.0941,1.7535
23.6515,11.2057,1.7566
23.6292,11.3157,1.7678
23.6042,11.4251,1.7867
23.5772,11.5345,1.8033
23.5504,11.6452,1.8061
23.5238,11.7569,1.8036
23.4969,11.8684,1.8085
23.4698,11.9794,1.8089
23.4418,12.0901,1.8150
23.4142,12.2010,1.8155
23.3854,12.3113,1.8222
23.3557,12.4202,1.8342
23.3257,12.5292,1.8349
23.2960,12.6393,1.8350
23.2664,12.7502,1.8324
23.2350,12.8590,1.8485
23.2039,12.9680,1.8467
23.1733,13.0778,1.8432
23.1427,13.1883,1.8423
23.1118,13.2989,1.8426
23.0816,13.4101,1.8387
23.0508,13.5218,1.8393
23.0195,13.6331,1.8437
22.9892,13.7444,1.8371
22.9582,13.8553,1.8440
22.9267,13.9666,1.8445
22.8952,14.0782,1.8447
22.8652,14.1891,1.8382
22.8334,14.2997,1.8471
22.8017,14.4105,1.8499
22.7699,14.5217,1.8484
22.7377,14.6327,1.8533
22.7060,14.7431,1.8503
22.6735,14.8531,1.8559
22.6421,14.9637,1.8502
22.6099,15.0743,1.8530
22.5789,15.1846,1.8472
22.5465,15.2953,1.8528
22.5137,15.4066,1.8563
22.4818,15.5171,1.8514
22.4505,15.6278,1.8494
22.4184,15.7390,1.8500
22.3861,15.8507,1.8527
22.3533,15.9620,1.8570
22.3211,16.0725,1.8531
22.2896,16.1829,1.8514
22.2570,16.2932,1.8552
22.2244,16.4041,1.8565
22.1928,16.5148,1.8505
22.1597,16.6244,1.8609
22.1260,16.7342,1.8652
22.0930,16.8442,1.8619
22.0600,16.9547,1.8619
22.0272,17.0652,1.8583
21.9947,17.1759,1.8582
21.9622,17.2860,1.8583
21.9284,17.3956,1.8665
21.8941,17.5053,1.8720
21.8605,17.6151,1.8679
21.8269,17.7259,1.8658
21.7942,17.8367,1.8593
21.7611,17.9478,1.8614
21.7272,18.0576,1.8691
21.6927,18.1671,1.8727
21.6578,18.2773,1.8759
21.6241,18.3879,1.8683
21.5909,18.4984,1.8636
21.5584,18.6093,1.8587
